State Code,County Code,Site Num,Parameter Code,POC,Latitude,Longitude,Datum,Parameter Name,Sample Duration,Pollutant Standard,Metric Used,Method Name,Year,Units of Measure,Event Type,Observation Count,Observation Percent,Completeness Indicator,Valid Day Count,Required Day Count,Exceptional Data Count,Null Data Count,Primary Exceedance Count,Secondary Exceedance Count,Certification Indicator,Num Obs Below MDL,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,1st Max DateTime,2nd Max Value,2nd Max DateTime,3rd Max Value,3rd Max DateTime,4th Max Value,4th Max DateTime,1st Max Non Overlapping Value,1st NO Max DateTime,2nd Max Non Overlapping Value,2nd NO Max DateTime,99th Percentile,98th Percentile,95th Percentile,90th Percentile,75th Percentile,50th Percentile,10th Percentile,Local Site Name,Address,State Name,County Name,City Name,CBSA Name,Date of Last Change
24,013,0001,44201,1,39.444294,-77.042252,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,4125,98,Y,241,245,0,0,1,1,Certified,0,0.043539,0.009928,0.074,2021-05-20T10:00:00Z,0.07,2021-05-21T12:00:00Z,0.07,2021-08-25T10:00:00Z,0.067,2021-06-05T11:00:00Z,NA,NA,NA,NA,0.07,0.066,0.059,0.056,0.051,0.044,0.03,South Carroll,1300 W. Old Liberty Road,Maryland,Carroll,NA,"Baltimore-Columbia-Towson, MD",2022-01-21
24,015,0003,44201,1,39.702982,-75.864771,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,4006,94,Y,231,245,0,0,3,3,Certified,0,0.045558,0.010654,0.075,2021-06-05T11:00:00Z,0.072,2021-05-19T12:00:00Z,0.071,2021-07-06T09:00:00Z,0.07,2021-06-18T10:00:00Z,NA,NA,NA,NA,0.071,0.068,0.064,0.061,0.053,0.044,0.033,Fair Hill Natural Resource Management Area,"Fair Hill Natural Resource Mgmt Area, 4493 Telegraph Road",Maryland,Cecil,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2021-11-16
24,015,0003,88101,3,39.702982,-75.864771,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,NA,2021,Micrograms/cubic meter (LC),No Events,347,95,Y,347,365,0,0,1,1,Certified,0,8.119308,4.316436,42.4,2021-07-20T00:00:00Z,30.1,2021-07-21T00:00:00Z,24.3,2021-01-12T00:00:00Z,23.2,2021-01-14T00:00:00Z,NA,NA,NA,NA,23.2,21.3,16.3,12.6,9.8,7.1,4.4,Fair Hill Natural Resource Management Area,"Fair Hill Natural Resource Mgmt Area, 4493 Telegraph Road",Maryland,Cecil,NA,"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",2022-01-18
24,017,0010,44201,1,38.508547,-76.811864,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,4103,98,Y,240,245,0,0,1,1,Certified,0,0.041217,0.010036,0.072,2021-07-28T11:00:00Z,0.067,2021-04-07T11:00:00Z,0.067,2021-05-20T09:00:00Z,0.066,2021-08-05T11:00:00Z,NA,NA,NA,NA,0.067,0.065,0.06,0.055,0.047,0.041,0.03,Southern Maryland,14320 Oaks Road,Maryland,Charles,NA,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-01-11
24,019,0004,44201,1,38.587525,-76.141006,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,6158,99,Y,242,245,0,0,1,1,Certified,0,0.043955,0.009546,0.072,2021-07-28T10:00:00Z,0.067,2021-07-30T10:00:00Z,0.065,2021-04-07T11:00:00Z,0.065,2021-05-20T08:00:00Z,NA,NA,NA,NA,0.065,0.065,0.062,0.057,0.049,0.044,0.038,Horn Point,University of Maryland for Environmental and Estuarine Studies,Maryland,Dorchester,NA,"Cambridge, MD",2022-01-21
24,019,0004,88101,3,38.587525,-76.141006,WGS84,PM2.5 - Local Conditions,24-HR BLK AVG,PM25 24-hour 2012,Daily Mean,NA,2021,Micrograms/cubic meter (LC),No Events,353,97,Y,353,365,0,0,0,0,Certified,0,6.402266,3.047511,25.7,2021-07-21T00:00:00Z,21.4,2021-07-20T00:00:00Z,16.7,2021-02-10T00:00:00Z,15.2,2021-03-11T00:00:00Z,NA,NA,NA,NA,15.2,13.7,12.2,10.4,7.9,5.7,3.3,Horn Point,University of Maryland for Environmental and Estuarine Studies,Maryland,Dorchester,NA,"Cambridge, MD",2022-01-18
24,019,9991,44201,1,38.444971,-76.111274,NAD83,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,6175,99,Y,242,245,0,0,0,0,Requested but not yet concurred,0,0.044227,0.009309,0.067,2021-05-22T11:00:00Z,0.065,2021-04-07T10:00:00Z,0.065,2021-06-18T13:00:00Z,0.065,2021-07-28T10:00:00Z,NA,NA,NA,NA,0.065,0.062,0.061,0.057,0.05,0.045,0.037,Blackwater NWR,"Blackwater National Wildlife Refuge, Cambridge, MD 21613",Maryland,Dorchester,NA,"Cambridge, MD",2022-03-02
24,021,0037,44201,1,39.42276,-77.37519,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,4134,98,Y,241,245,0,0,1,1,Certified,0,0.044012,0.010555,0.078,2021-05-20T11:00:00Z,0.069,2021-05-21T11:00:00Z,0.069,2021-06-05T11:00:00Z,0.067,2021-04-07T11:00:00Z,NA,NA,NA,NA,0.069,0.067,0.062,0.057,0.051,0.044,0.031,Frederick Airport,"Frederick County Airport ,180 E Airport Drive",Maryland,Frederick,Frederick,"Washington-Arlington-Alexandria, DC-VA-MD-WV",2022-01-10
24,023,0002,42602,4,39.70595,-79.012,WGS84,Nitrogen dioxide (NO2),1 HOUR,NO2 Annual 1971,Observed values,Teledyne Model T500U - Cavity Attenuated Phase Shift Spectroscopy,2021,Parts per billion,No Events,8649,99,Y,363,365,0,111,NA,NA,Certified,0,1.889317,0.931496,14.3,2021-03-10T01:00:00Z,12,2021-04-07T06:00:00Z,11.2,2021-04-06T22:00:00Z,10.6,2021-04-06T23:00:00Z,NA,NA,NA,NA,5.3,4.6,3.6,3,2.2,1.7,1,Piney Run,"Piney Run, Frostburg Reservoir, Finzel",Maryland,Garrett,Grantsville,NA,2022-01-21
24,023,0002,44201,1,39.70595,-79.012,WGS84,Ozone,8-HR RUN AVG BEGIN HOUR,Ozone 8-hour 2015,Daily maximum of 8-hour running average,NA,2021,Parts per million,No Events,6160,98,Y,359,365,0,0,0,0,Certified,0,0.039507,0.00967,0.066,2021-04-06T10:00:00Z,0.066,2021-07-28T10:00:00Z,0.063,2021-08-24T10:00:00Z,0.061,2021-04-07T10:00:00Z,NA,NA,NA,NA,0.061,0.06,0.057,0.052,0.046,0.039,0.028,Piney Run,"Piney Run, Frostburg Reservoir, Finzel",Maryland,Garrett,Grantsville,NA,2022-01-21
