POLY_ID,Latitude,Longitude,Arithmetic Mean,Arithmetic Standard Dev,1st Max Value,2nd Max Value,3rd Max Value,4th Max Value,CL
"28",39.464872000000000,-74.448735999999997,0.039801000000000,0.008723000000000,0.068000000000000,0.066000000000000,0.059000000000000,0.059000000000000,"4"
"29",40.870435999999998,-73.991994000000005,0.038831000000000,0.013363000000000,0.084000000000000,0.081000000000000,0.078000000000000,0.076000000000000,"4"
"30",39.934559000000000,-75.125219000000001,0.042053000000000,0.011062000000000,0.071000000000000,0.069000000000000,0.068000000000000,0.068000000000000,"1"
"31",39.684249999999999,-74.861491000000001,0.039786000000000,0.009968000000000,0.072000000000000,0.068000000000000,0.067000000000000,0.062000000000000,"4"
"32",39.422272999999997,-75.025204000000002,0.041962000000000,0.010174000000000,0.074000000000000,0.071000000000000,0.070000000000000,0.068000000000000,"1"
"33",40.720989000000003,-74.192892000000001,0.034348000000000,0.012312000000000,0.072000000000000,0.071000000000000,0.067000000000000,0.066000000000000,"3"
"34",39.800339000000001,-75.212119000000001,0.041844000000000,0.011404000000000,0.071000000000000,0.071000000000000,0.070000000000000,0.067000000000000,"1"
"35",40.670250000000003,-74.126080999999999,0.039391000000000,0.012363000000000,0.078000000000000,0.074000000000000,0.072000000000000,0.070000000000000,"4"
"36",40.515262000000000,-74.806670999999994,0.041016000000000,0.011414000000000,0.069000000000000,0.068000000000000,0.066000000000000,0.066000000000000,"1"
"37",40.283092000000003,-74.742613000000006,0.043686000000000,0.012391000000000,0.079000000000000,0.077000000000000,0.072000000000000,0.071000000000000,"1"
"38",40.312500000000000,-74.872900000000001,0.041818000000000,0.011257000000000,0.070000000000000,0.068000000000000,0.067000000000000,0.067000000000000,"1"
"39",40.462181999999999,-74.429439000000002,0.041475000000000,0.012205000000000,0.079000000000000,0.079000000000000,0.072000000000000,0.070000000000000,"1"
"40",40.277647000000002,-74.005099999999999,0.040760000000000,0.011362000000000,0.087000000000000,0.079000000000000,0.073000000000000,0.071000000000000,"4"
"41",40.787627999999998,-74.676300999999995,0.040752000000000,0.010957000000000,0.069000000000000,0.067000000000000,0.066000000000000,0.064000000000000,"1"
"42",40.064830000000001,-74.444050000000004,0.042261000000000,0.010981000000000,0.078000000000000,0.075000000000000,0.069000000000000,0.068000000000000,"1"
"43",41.058616999999998,-74.255544000000000,0.038630000000000,0.010636000000000,0.064000000000000,0.063000000000000,0.063000000000000,0.062000000000000,"3"
"44",40.924579999999999,-75.067814999999996,0.035441000000000,0.012268000000000,0.069000000000000,0.068000000000000,0.063000000000000,0.062000000000000,"3"
"45",42.680750000000003,-73.757329999999996,0.037154000000000,0.010332000000000,0.067000000000000,0.063000000000000,0.062000000000000,0.062000000000000,"3"
"46",40.816000000000003,-73.902000000000001,0.039290000000000,0.012458000000000,0.080000000000000,0.076000000000000,0.074000000000000,0.070000000000000,"4"
"47",40.867899999999999,-73.878090000000000,0.041013000000000,0.012265000000000,0.085000000000000,0.076000000000000,0.075000000000000,0.074000000000000,"8"
"48",42.499630000000003,-79.318809999999999,0.042718000000000,0.010787000000000,0.072000000000000,0.070000000000000,0.070000000000000,0.066000000000000,"2"
"49",41.785550000000001,-73.741360000000000,0.038257000000000,0.010911000000000,0.079000000000000,0.064000000000000,0.063000000000000,0.061000000000000,"3"
"50",42.993279999999999,-78.771529999999998,0.041706000000000,0.011514000000000,0.071000000000000,0.070000000000000,0.069000000000000,0.068000000000000,"2"
"51",44.366079999999997,-73.903120000000001,0.043888000000000,0.009772000000000,0.071000000000000,0.069000000000000,0.068000000000000,0.067000000000000,"3"
"52",44.393079999999998,-73.858900000000006,0.038512000000000,0.011203000000000,0.067000000000000,0.066000000000000,0.066000000000000,0.065000000000000,"3"
"53",43.973100000000002,-74.223200000000006,0.032845000000000,0.010449000000000,0.059000000000000,0.057000000000000,0.057000000000000,0.056000000000000,"3"
